SP	SP
AP	AP
가	g a
각	g a K
갂	g a K
갃	g a K
간	g a N
갅	g a N
갆	g a N
갇	g a T
갈	g a L
갉	g a L
갊	g a L
갋	g a L
갌	g a L
갍	g a L
갎	g a L
갏	g a L
감	g a M
갑	g a P
값	g a P
갓	g a T
갔	g a T
강	g a NG
갖	g a T
갗	g a T
갘	g a K
같	g a T
갚	g a P
갛	g a T
개	g ae
객	g ae K
갞	g ae K
갟	g ae K
갠	g ae N
갡	g ae N
갢	g ae N
갣	g ae T
갤	g ae L
갥	g ae L
갦	g ae L
갧	g ae L
갨	g ae L
갩	g ae L
갪	g ae L
갫	g ae L
갬	g ae M
갭	g ae P
갮	g ae P
갯	g ae T
갰	g ae T
갱	g ae NG
갲	g ae T
갳	g ae T
갴	g ae K
갵	g ae T
갶	g ae P
갷	g ae T
갸	g ya
갹	g ya K
갺	g ya K
갻	g ya K
갼	g ya N
갽	g ya N
갾	g ya N
갿	g ya T
걀	g ya L
걁	g ya L
걂	g ya L
걃	g ya L
걄	g ya L
걅	g ya L
걆	g ya L
걇	g ya L
걈	g ya M
걉	g ya P
걊	g ya P
걋	g ya T
걌	g ya T
걍	g ya NG
걎	g ya T
걏	g ya T
걐	g ya K
걑	g ya T
걒	g ya P
걓	g ya T
걔	g yae
걕	g yae K
걖	g yae K
걗	g yae K
걘	g yae N
걙	g yae N
걚	g yae N
걛	g yae T
걜	g yae L
걝	g yae L
걞	g yae L
걟	g yae L
걠	g yae L
걡	g yae L
걢	g yae L
걣	g yae L
걤	g yae M
걥	g yae P
걦	g yae P
걧	g yae T
걨	g yae T
걩	g yae NG
걪	g yae T
걫	g yae T
걬	g yae K
걭	g yae T
걮	g yae P
걯	g yae T
거	g eo
걱	g eo K
걲	g eo K
걳	g eo K
건	g eo N
걵	g eo N
걶	g eo N
걷	g eo T
걸	g eo L
걹	g eo L
걺	g eo L
걻	g eo L
걼	g eo L
걽	g eo L
걾	g eo L
걿	g eo L
검	g eo M
겁	g eo P
겂	g eo P
것	g eo T
겄	g eo T
겅	g eo NG
겆	g eo T
겇	g eo T
겈	g eo K
겉	g eo T
겊	g eo P
겋	g eo T
게	g e
겍	g e K
겎	g e K
겏	g e K
겐	g e N
겑	g e N
겒	g e N
겓	g e T
겔	g e L
겕	g e L
겖	g e L
겗	g e L
겘	g e L
겙	g e L
겚	g e L
겛	g e L
겜	g e M
겝	g e P
겞	g e P
겟	g e T
겠	g e T
